tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
36.1,30.0,42.1,0.252,2.992,26.0,18.0,,1009.9,,Chicago
24.8,16.0,32.0,0.059,2.992,330.0,11.5,,1021.6,,Chicago
17.6,10.0,24.1,0.0,2.992,234.0,8.6,,1028.6,,Chicago
30.2,24.1,36.0,0.0,2.008,192.0,13.1,,1015.3,,Chicago
20.3,12.9,35.1,0.0,2.008,256.0,21.6,,1008.0,,Chicago
11.5,6.1,16.0,0.0,2.008,273.0,13.5,,1020.5,,Chicago
8.2,1.0,15.1,0.0,2.008,242.0,8.8,,1028.4,,Chicago
25.0,15.1,36.0,0.02,0.984,183.0,12.1,,1021.9,,Chicago
25.7,12.0,37.0,0.0,0.984,286.0,12.5,,1027.1,,Chicago
14.9,8.1,19.9,0.0,0.984,300.0,9.8,,1035.4,,Chicago
21.6,6.1,37.9,0.0,0.984,207.0,11.9,,1028.0,,Chicago
37.6,30.0,42.1,0.0,0.0,229.0,7.9,,1016.2,,Chicago
37.2,28.9,41.0,0.0,0.0,14.0,5.4,,1014.6,,Chicago
33.8,28.0,37.9,0.031,0.984,40.0,15.5,,1022.1,,Chicago
24.8,21.0,28.0,0.031,0.984,68.0,13.3,,1028.3,,Chicago
23.4,14.0,30.0,0.012,0.984,273.0,6.0,,1015.7,,Chicago
27.7,25.0,30.0,0.0,0.984,299.0,11.7,,1011.2,,Chicago
34.0,21.9,45.0,0.0,0.0,203.0,12.4,,1012.1,,Chicago
25.9,12.9,43.0,0.0,0.0,301.0,15.5,,1019.3,,Chicago
14.7,9.0,21.9,0.0,0.0,342.0,10.7,,1036.1,,Chicago
19.2,10.0,27.0,0.0,0.0,232.0,6.3,,1035.3,,Chicago
25.7,19.9,36.0,0.012,0.0,246.0,14.7,,1023.6,,Chicago
19.4,10.0,25.0,0.28,4.016,324.0,10.3,,1015.3,,Chicago
20.5,12.9,28.9,0.11,4.016,263.0,10.5,,1009.5,,Chicago
9.5,1.9,15.1,0.0,4.016,307.0,10.9,,1026.6,,Chicago
4.6,-5.1,15.1,0.0,4.016,240.0,8.6,,1032.3,,Chicago
26.6,14.0,33.1,0.0,2.992,245.0,11.6,,1022.1,,Chicago
21.7,12.0,28.9,0.311,9.016,333.0,9.4,,1027.1,,Chicago
17.2,9.0,23.0,0.0,5.984,219.0,7.5,,1022.2,,Chicago
24.8,14.0,33.1,0.0,5.984,328.0,6.3,,1015.8,,Chicago
31.6,28.0,35.1,0.0,5.0,160.0,7.9,,1020.0,,Chicago
39.9,33.1,48.9,0.201,2.008,219.0,11.0,,1014.7,,Chicago
24.4,19.0,33.1,0.76,10.984,352.0,15.3,,1024.6,,Chicago
24.6,19.0,27.0,0.0,7.992,22.0,18.3,,1030.6,,Chicago
20.5,12.0,26.1,0.02,7.008,293.0,10.4,,1028.6,,Chicago
13.8,6.1,19.0,0.0,7.008,233.0,11.1,,1030.6,,Chicago
26.1,18.0,33.1,0.0,7.008,207.0,12.5,,1022.3,,Chicago
24.1,18.0,32.0,0.0,5.0,275.0,10.6,,1022.8,,Chicago
29.1,18.0,41.0,0.0,4.016,193.0,10.4,,1015.0,,Chicago
37.6,34.0,42.1,0.0,2.992,250.0,12.9,,1007.4,,Chicago
31.1,28.0,36.0,0.0,2.008,262.0,13.0,,1012.3,,Chicago
37.6,30.0,45.0,0.13,2.008,251.0,17.0,,1004.2,,Chicago
20.1,15.1,30.9,0.0,0.984,309.0,11.9,,1026.5,,Chicago
16.3,14.0,21.0,0.0,0.984,295.0,8.3,,1027.3,,Chicago
20.8,15.1,27.0,0.0,0.984,215.0,7.5,,1027.7,,Chicago
32.2,23.0,46.0,0.0,0.984,144.0,10.8,,1026.9,,Chicago
50.0,43.0,54.0,1.13,0.0,208.0,18.1,,1010.8,,Chicago
29.5,17.1,43.0,0.52,4.016,359.0,19.0,,1014.6,,Chicago
19.9,8.1,32.0,0.0,2.992,241.0,15.7,,1019.8,,Chicago
18.0,10.9,28.9,0.0,2.008,267.0,14.7,,1027.9,,Chicago
36.7,18.0,48.9,0.0,0.0,207.0,17.0,,1015.6,,Chicago
43.2,33.1,54.0,0.0,0.0,47.0,5.8,,1013.8,,Chicago
38.3,25.0,54.0,1.091,0.0,327.0,10.8,,1010.1,,Chicago
22.6,18.0,26.1,0.0,0.0,339.0,12.1,,1031.9,,Chicago
27.1,24.1,28.9,0.079,0.984,67.0,12.6,,1027.7,,Chicago
27.0,19.9,30.9,0.091,0.984,316.0,7.7,,1029.7,,Chicago
25.2,15.1,33.1,0.0,0.984,244.0,10.6,,1032.3,,Chicago
36.0,28.9,46.0,0.0,0.0,269.0,9.4,,1024.3,,Chicago
41.9,28.9,55.0,0.0,0.0,193.0,10.0,,1019.4,,Chicago
43.7,36.0,52.0,0.0,0.0,194.0,7.8,,1015.8,,Chicago
43.9,34.0,60.1,0.0,0.0,37.0,8.8,,1018.6,,Chicago
33.3,30.0,37.9,0.0,0.0,46.0,12.8,,1029.4,,Chicago
36.9,30.0,43.0,0.0,0.0,93.0,9.1,,1028.5,,Chicago
57.6,42.1,71.1,0.13,0.0,178.0,15.2,,1011.6,,Chicago
43.9,37.9,61.0,0.118,0.0,268.0,17.2,,1013.3,,Chicago
35.1,32.0,37.9,0.37,0.0,322.0,12.9,,1016.1,,Chicago
34.9,28.0,42.1,0.0,0.0,232.0,8.0,,1022.1,,Chicago
36.7,30.0,44.1,0.0,0.0,270.0,9.5,,1017.7,,Chicago
28.2,26.1,33.1,0.051,0.984,9.0,8.0,,1023.8,,Chicago
26.1,18.0,33.1,0.031,0.0,291.0,13.5,,1019.5,,Chicago
18.9,12.9,23.0,0.0,0.0,286.0,13.8,,1022.5,,Chicago
31.5,21.9,53.1,0.0,0.0,,11.6,,,,Chicago
51.1,39.9,64.9,0.0,0.0,214.0,9.9,,1019.4,,Chicago
43.5,35.1,55.0,0.0,0.0,41.0,5.5,,1021.8,,Chicago
55.6,37.9,72.0,0.0,0.0,200.0,7.6,,1015.1,,Chicago
58.3,48.9,73.9,0.0,0.0,194.0,7.5,,1011.5,,Chicago
45.3,42.1,50.0,0.76,0.0,24.0,13.4,,1009.2,,Chicago
41.4,39.0,44.1,0.189,0.0,320.0,10.9,,1008.6,,Chicago
49.5,34.0,64.9,0.0,0.0,241.0,6.2,,1019.5,,Chicago
61.2,44.1,77.0,0.0,0.0,199.0,8.9,,1018.0,,Chicago
55.9,50.0,62.1,0.13,0.0,133.0,14.6,,1011.2,,Chicago
53.6,46.0,60.1,0.39,0.0,185.0,10.2,,998.4,,Chicago
44.2,41.0,46.0,0.13,0.0,243.0,11.2,,1005.0,,Chicago
43.0,36.0,50.0,0.02,0.0,282.0,15.5,,1006.9,,Chicago
32.9,28.9,36.0,0.012,0.0,312.0,16.6,,1012.1,,Chicago
29.7,25.0,37.9,0.0,0.0,358.0,9.8,,1022.3,,Chicago
29.8,25.0,35.1,0.0,0.0,29.0,9.3,,1026.5,,Chicago
37.6,30.9,45.0,0.0,0.0,114.0,13.5,,1020.7,,Chicago
54.9,45.0,64.0,1.319,0.0,175.0,12.5,,997.0,,Chicago
41.2,34.0,50.0,0.358,0.0,290.0,11.1,,996.6,,Chicago
37.9,33.1,46.9,0.0,0.0,328.0,9.6,,1016.5,,Chicago
39.0,35.1,45.0,0.22,0.0,188.0,8.6,,1016.4,,Chicago
41.4,33.1,48.9,0.15,0.0,54.0,5.7,,1017.4,,Chicago
47.1,43.0,55.0,0.071,0.0,230.0,10.6,,1011.4,,Chicago
46.9,39.0,55.0,0.031,0.0,91.0,8.1,,1007.2,,Chicago
52.7,45.0,59.0,0.571,0.0,229.0,16.0,,999.9,,Chicago
43.7,41.0,46.0,0.071,0.0,243.0,16.3,,1001.2,,Chicago
39.6,35.1,43.0,0.26,0.0,305.0,8.3,,1004.8,,Chicago
39.9,34.0,50.0,0.0,0.0,328.0,9.2,,1011.1,,Chicago
51.3,36.0,64.0,0.0,0.0,154.0,11.3,,1010.8,,Chicago
